1,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_number,track_name,album_name,album_release_date,album_release_year,song_word_count
54,0.443,0.635,11,-5.404,0,0.223,0.455,0,0.285,0.663,93.742,241680,4,14,You Ain't Gotta Lie (Momma Said),To Pimp A Butterfly,2015-03-16,2015,659
4,0.626,0.537,2,-7.344,1,0.0367,0.502,0.0835,0.111,0.264,95.948,239974,4,4,Alien Girl (Today W/ Her),Overly Dedicated,2010-09-14,2010,266
29,0.601,0.516,10,-11.122,0,0.5,0.502,0.00633,0.124,0.312,87.667,273640,4,1,Sherane a.k.a Master Splinter’s Daughter,"good kid, m.A.A.d city",2012,2012,847
2,0.644,0.801,7,-4.55,1,0.387,0.511,0,0.614,0.762,82.156,210495,4,2,Ignorance Is Bliss,Overly Dedicated,2010-09-14,2010,605
18,0.51,0.537,4,-11.297,0,0.0823,0.533,0,0.185,0.713,67.9,161138,4,6,Chapter Six,Section.80,2011-07-02,2011,258
16,0.535,0.696,5,-7.181,0,0.0901,0.541,0.00521,0.63,0.226,91.002,235921,4,4,No Make-Up (Her Vice),Section.80,2011-07-02,2011,584
52,0.665,0.558,2,-7.863,0,0.303,0.566,0,0.219,0.384,89.953,263360,4,12,Complexion (A Zulu Love),To Pimp A Butterfly,2015-03-16,2015,646
42,0.526,0.896,8,-4.708,1,0.197,0.588,0,0.37,0.754,129.313,130893,1,2,For Free? - Interlude,To Pimp A Butterfly,2015-03-16,2015,400
76,0.585,0.473,1,-7.067,1,0.3,0.592,0,0.602,0.472,149.67,460573,4,12,FEAR.,DAMN.,2017-04-14,2017,1293
59,0.825,0.547,1,-12.496,1,0.263,0.594,0,0.149,0.572,104.019,154347,4,3,untitled 03 | 05.28.2013.,untitled unmastered.,2016-03-04,2016,570
67,0.648,0.691,1,-7.935,1,0.239,0.61,0,0.224,0.62,69.982,160293,4,3,YAH.,DAMN.,2017-04-14,2017,262
20,0.736,0.892,1,-5.217,1,0.28,0.619,0,0.111,0.608,88.124,261874,4,8,Poe Mans Dreams (His Vice),Section.80,2011-07-02,2011,766
5,0.608,0.814,6,-5.908,1,0.435,0.657,0,0.256,0.597,192.157,271909,4,5,Opposites Attract (Tomorrow W/O Her),Overly Dedicated,2010-09-14,2010,596
56,0.567,0.525,10,-9.043,0,0.75,0.665,0,0.708,0.41,86.935,727107,4,16,Mortal Man,To Pimp A Butterfly,2015-03-16,2015,2145
55,0.541,0.809,8,-4.286,1,0.324,0.708,0,0.72,0.756,120.094,336013,4,15,i,To Pimp A Butterfly,2015-03-16,2015,1136
25,0.383,0.731,1,-5.996,1,0.201,0.726,0,0.504,0.313,176.781,304668,4,13,Kush & Corinthians,Section.80,2011-07-02,2011,786
63,0.567,0.455,6,-11.75,0,0.496,0.738,0,0.708,0.351,127.002,496173,4,7,untitled 07 | 2014 - 2016,untitled unmastered.,2016-03-04,2016,1088
14,0.607,0.869,5,-5.271,1,0.345,0.781,0,0.137,0.582,155.983,173158,4,2,Hol' Up,Section.80,2011-07-02,2011,519
60,0.525,0.121,4,-21.487,0,0.199,0.854,0,0.462,0.189,99.905,110067,4,4,untitled 04 | 08.14.2014.,untitled unmastered.,2016-03-04,2016,169
17,0.477,0.835,9,-5.942,0,0.438,0.924,0.000508,0.129,0.524,97.317,161671,3,5,Tammy's Song (Her Evils),Section.80,2011-07-02,2011,492
